"country","WaterQuality_EPIDrinkingWaterScore_2024"
"India",25.8
"China",76.5
"United States",100
"Indonesia",31.3
"Pakistan",28.2
"Nigeria",14.6
"Brazil",60.6
"Bangladesh",32.6
"Russia",77.5
"Ethiopia",19.4
"Mexico",58
"Japan",77.5
"Egypt",54.8
"Philippines",40.8
"DR Congo",26.7
"Vietnam",54.7
"Iran",68.3
"Turkey",61.6
"Germany",98.1
"Thailand",44.6
"United Kingdom",97
"Tanzania",21.4
"France",85.3
"South Africa",25.5
"Italy",100
"Kenya",22
"Myanmar",36.3
"Colombia",58.1
"South Korea",90.1
"Sudan",41
"Uganda",24.6
"Spain",93.6
"Algeria",62
"Iraq",57.3
"Argentina",67.1
"Afghanistan",33.1
"Canada",99.1
"Poland",78.6
"Morocco",49.2
"Angola",22.6
"Ukraine",78.5
"Uzbekistan",75.5
"Malaysia",51.6
"Mozambique",21.3
"Ghana",27.9
"Peru",56.6
"Saudi Arabia",60.6
"Madagascar",13.5
"Ivory Coast",25.2
"Nepal",34.4
"Cameroon",23.8
"Venezuela",47.9
"Niger",12.8
"Australia",90.5
"Mali",19
"Burkina Faso",16.3
"Taiwan",70.1
"Sri Lanka",52.5
"Malawi",17.8
"Zambia",22.3
"Kazakhstan",76.3
"Chad",4.5
"Chile",81.8
"Romania",70.2
"Senegal",28.3
"Guatemala",31.1
"Netherlands",88.5
"Ecuador",64
"Cambodia",41
"Zimbabwe",19.7
"Guinea",20.8
"Benin",20.9
"Rwanda",25.5
"Burundi",17.4
"Bolivia",47.7
"Tunisia",61.1
"Haiti",18.6
"Belgium",88.7
"Jordan",63.5
"Dominican Republic",42.1
"United Arab Emirates",66.1
"Cuba",58.1
"Honduras",38.9
"Czech Republic",73.6
"Sweden",97.7
"Tajikistan",33.3
"Papua New Guinea",21.9
"Portugal",95.6
"Azerbaijan",50.2
"Greece",96.4
"Hungary",72.1
"Togo",18.2
"Israel",81.7
"Austria",95.8
"Belarus",76.2
"Switzerland",97.9
"Sierra Leone",18.3
"Laos",33.3
"Turkmenistan",61.4
"Kyrgyzstan",62.4
"Paraguay",57.7
"Nicaragua",48.5
"Bulgaria",73.7
"Serbia",81.8
"El Salvador",50.9
"Republic of the Congo",25.4
"Denmark",90.9
"Singapore",99.8
"Lebanon",56.6
"Finland",96.3
"Liberia",19.1
"Norway",97.8
"Slovakia",88.4
"Central African Republic",9.2
"Oman",63.5
"Ireland",92.7
"New Zealand",84.2
"Mauritania",27.9
"Costa Rica",64.4
"Kuwait",73.1
"Panama",49.5
"Croatia",81.6
"Georgia",73.3
"Eritrea",16.6
"Mongolia",64.1
"Uruguay",70.4
"Bosnia and Herzegovina",79.3
"Qatar",71.5
"Moldova",64.3
"Namibia",20.2
"Armenia",77.8
"Lithuania",73.9
"Jamaica",54.1
"Albania",70
"Gambia",25.8
"Gabon",35.6
"Botswana",21.3
"Lesotho",9.8
"Guinea-Bissau",20.4
"Slovenia",88.7
"Equatorial Guinea",34.7
"Latvia",75.9
"North Macedonia",70
"Bahrain",64.9
"Trinidad and Tobago",58.4
"Timor-Leste",34.1
"Estonia",72.9
"Cyprus",86.2
"Mauritius",61.6
"Eswatini",18.7
"Djibouti",26.8
"Fiji",35.1
"Comoros",26.9
"Guyana",41.4
"Solomon Islands",34.8
"Bhutan",40
"Luxembourg",93.2
"Montenegro",95.8
"Suriname",41.4
"Malta",93.6
"Maldives",45.7
"Cape Verde",38.1
"Brunei",87.9
"Belize",49.7
"Bahamas",60.5
"Iceland",96.2
"Vanuatu",33.2
"Barbados",59
"Sao Tome and Principe",38.5
"Samoa",52.5
"Saint Lucia",53.2
"Kiribati",22
"Seychelles",51.1
"Grenada",54.9
"Micronesia",39.3
"Tonga",49.7
"Saint Vincent and the Grenadines",51.6
"Antigua and Barbuda",57.5
"Dominica",50.2
"Marshall Islands",36.7